ProductID,ProductName,Category,ListPrice
P001,Wireless Bluetooth Earbuds,Electronics,2499
P002,Stainless Steel Water Bottle 1L,Home & Kitchen,799
P003,Cotton Crew Neck T-Shirt (Black),Apparel,599
P004,Organic Whole Bean Coffee 1kg,Grocery,899
P005,LED Desk Lamp with USB Port,Furniture,1599
P006,Noise Cancelling Headphones,Electronics,5999
P007,Memory Foam Pillow,Home & Kitchen,1299
P008,Running Shoes (Men),Footwear,3499
P009,NutriBlend Personal Blender,Appliances,2199
P010,Premium Ballpoint Pen Set,Stationery,349
P011,Electric Kettle 1.8L,Appliances,1199
P012,Sports Water-Resistant Watch,Accessories,2499
P013,Non-stick Frying Pan 28cm,Home & Kitchen,899
P014,Interior Scented Candle Set,Home Decor,499
P015,USB-C Fast Charging Cable 1m,Electronics,299
P016,Daily Planner Hardcover 2025,Stationery,399
P017,Travel Backpack 35L,Bags,1799
P018,"Portable Power Bank 20,000mAh",Electronics,1999
P019,Kids Graphic T-Shirt,Apparel,449
P020,Stainless Steel Lunch Box,Home & Kitchen,599
P021,Folding Study Table,Furniture,2599
P022,Car Air Purifier,Automotive,3299
P023,Rechargeable Hair Trimmer,Personal Care,1499
P024,Ultra Soft Bath Towel,Home & Kitchen,499
P025,Protein Shake Bottle 700ml,Fitness,349
P026,Smart LED Light Bulb (Wi-Fi),Electronics,599
P027,Polarized Sunglasses (Unisex),Accessories,899
P028,Men’s Leather Wallet,Accessories,649
P029,Wireless Keyboard & Mouse Combo,Electronics,1399
P030,Silicone Baking Mat,Home & Kitchen,299
P031,Gaming Mousepad Extended,Electronics,799
P032,Bathroom Floor Mat,Home & Kitchen,399
P033,Stainless Steel Chef Knife,Kitchen Tools,799
P034,Women’s Cotton Leggings,Apparel,549
P035,Electric Room Heater (Mini),Appliances,2199
P036,Soft Plush Throw Blanket,Home Decor,999
P037,Rechargeable Table Fan,Appliances,1899
P038,Kids School Lunch Bag,Bags,599
P039,Car Mobile Holder,Automotive,299
P040,Smart Fitness Band,Fitness,1499
P041,Heavy Duty Yoga Mat,Fitness,999
P042,3-in-1 Shampoo & Body Wash,Personal Care,299
P043,Wireless Doorbell,Home Improvement,699
P044,Glass Food Storage Container Set,Home & Kitchen,899
P045,Reusable Shopping Tote Bag,Bags,199
P046,Bluetooth Portable Speaker,Electronics,1699
P047,Women’s Casual Sneakers,Footwear,2999
P048,Desk Organizer Tray,Stationery,249
P049,Almonds 500g,Grocery,449
P050,LED Wall Clock,Home Decor,999
